panel,method,budget,strength,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss,selection_entropy_bits
openml_taskbalanced,strength3_b64,64,3,1.0,0.0,0.15045784003436777,0.15045784003436777,0.0
subsample_repeat,four_strength1_b16,16,0,0.9635416666666666,1.3415842959704866e-05,0.29434726777652404,0.2944152427849756,0.1658018685094457
subsample_repeat,four_strength2_b64,64,0,1.0,0.0,0.29429457006881693,0.29430430260972923,0.0
subsample_repeat,iid_b16,16,0,0.9378255208333334,1.9418828734810183e-05,0.2943871317447223,0.2944687513359335,0.22307558700728022
subsample_repeat,iid_b4,4,0,0.8538411458333334,9.144419649816176e-05,0.2944977633790848,0.29479476043062486,0.434381108490066
subsample_repeat,iid_b64,64,0,0.9925130208333334,1.3223655143035557e-06,0.29430643256887495,0.2943311209352843,0.04602252588528496
subsample_repeat,seed_blocks_b16,16,0,0.9368489583333334,2.6860573497889244e-05,0.294387944031234,0.29448478814649043,0.25940444943059343
subsample_repeat,seed_blocks_b4,4,0,0.8352864583333334,8.333276438719478e-05,0.2945419317952687,0.2948711199365444,0.44934641635128103
subsample_repeat,seed_blocks_b64,64,0,0.9964192708333334,9.369218873498167e-07,0.2943000123296962,0.29431728428212284,0.027415326665632008
subsample_repeat,sixteen_strength1_b64,64,0,0.9967447916666666,6.880364046937034e-07,0.29429964183715845,0.2943201850061663,0.02466843149600084
subsample_repeat,strength1_b4,4,1,0.8971354166666666,4.9634626833689886e-05,0.29443366706961765,0.2946968920125519,0.2964540277707175
subsample_repeat,strength2_b16,16,2,0.9973958333333334,1.9910838612489067e-06,0.29429753400911923,0.29433461622771756,0.019352512550794954
subsample_repeat,strength3_b64,64,3,1.0,0.0,0.29429457006881693,0.294296832541428,0.0
