panel,dataset,problem_type,model,seed,method,family,split,alpha,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,fit_seconds,method_task_loss,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G1-t005,G1,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G1-t01,G1,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G1-t01,G1,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t005,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t005,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t01,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t01,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t02,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p0-t02,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p5-t005,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p5-t005,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p5-t01,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p5-t01,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p5-t02,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g0p5-t02,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p0-t005,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p0-t005,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p0-t01,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p0-t01,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p0-t02,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p0-t02,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p64-t005,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p64-t005,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p64-t01,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p64-t01,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p64-t02,G2,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G2-g1p64-t02,G2,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G3,G3,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G3,G3,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,SafeGram-t01,safety_reference,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,SafeGram-t01,safety_reference,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,SafeRankGram-t01,safety_reference,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.2509162628557533,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,SafeRankGram-t01,safety_reference,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.2509162628557533,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
